,Stock,User,Comment,Comment Time
2275,IZENR,experkory ,"daha uzunca bir sure surundurur, alim firsati verir.. ister alir toplarsin, istersen avel avel sover cikmasini beklersin.. bu hisse 2025te oyle bir cildiracak ki... off off offfff... satan tekrar sovecek, alamayan da arkasindan bakip kalcak...",3 saat önce
2276,IZENR,ramazan Harika olmuş,"bacsni s,,,, tigmin iz enerjisi bizi 8 aydir mahkum ettin maliyet 70 hala dusuyorsun",3 saat önce
2277,IZENR,Aykut Zafer,"evet 28 cok onbemli destek kirdimi taban 27.90.ondan sonra solugu 20.90da alir.biz de alip keyfini sureriz.satmayan, burada sovmekten kufretmekten baska bisi bilmeyen ky artik cok gec..satmayin.. zaten battiniz.ne demistik, dun bugunu, bugun yarini, obur hafta bu haftayi arayacaksiniz.laf dinlemeyenler soguk su icin iyi gelir.",3 saat önce
2278,IZENR,Michael Carleone,25lere gelince gelecegim az kaldi,3 saat önce
2279,IZENR,experkory ,"bu seviyelerde ky istemiyorlar.. mali dusuk fiyattayken komple balinalar paylassin, hic ky olmasin.. fiyat zirve yapinca zirvede mali ky'ye kilitlemek istiyorlar..",3 saat önce
2280,IZENR,Aykut Zafer,costuuu.taban demistik.yuru kim tutar seni,3 saat önce
2281,IZENR,mehmet özçelik,i̇nsallah batar gidersin dolandirici kitapsiz herifler,3 saat önce
2282,IZENR,Seko Pasa,misss gibiiii ohhhhh. kudurunnnn,3 saat önce
2283,IZENR,Isa Feyzi,arkadaslar su anda batmis durumdayiz,3 saat önce
2284,IZENR,Mutlu Cansız,cimere yazalim o.c colugundan cocugundan ciksin,3 saat önce
2285,IZENR,Speko speko,bu ococklarinin hissesi haramdr almayin vallahi haram dinsiz bunlar,3 saat önce
2286,IZENR,Speko speko,nasil gidio ocockluk;),3 saat önce
2287,IZENR,furkan meyveli,alttta aldikca anamiz agladi,3 saat önce
2288,IZENR,experkory ,ya adam gi̇bi̇ cik cikcaksan yada bas asagi daha da yukleneli̇m 20lerden!!! ama kancik gi̇bi̇ surundurme!!! bas asagiya kpeeekkk!!!!,3 saat önce
2289,IZENR,Aytunç Tayfur,"hala bunu alan var ya:)) 7 aydir dusuyor diyoruz, almayin aldirmayin diyoruz, tahtacisi kaliteli o.e diyoruz, gireni iceri aliyor diyoruz. yani almamaniz icin daha ne soylememiz gerekiyor? almayin arkadas almayin. bo*kuyla oynasin ga*vat.",3 saat önce
2290,IZENR,Aytunç Tayfur,artik yukselsen diyorum. gercekten olayin bo*kunu cikarttin,3 saat önce
2291,IZENR,Ali Çevrük,senin gibi hisssenin taaaaa,3 saat önce
2292,IZENR,Umut Bozkurt,kac ay oldu hala yukselise gecmedi ytd,3 saat önce
